文件名,完整路径,大小(字节),大小(可读),修改时间,是否目录,MD5哈希值,SHA256哈希值,扩展名,MIME类型
ColumnMenuContent.qmlc,temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls\Private\ColumnMenuContent.qmlc,21192,20.70 B,2022-01-06 07:52:22,false,fffd31d5c36c971fe01b35fc87775728,48e3b926142696d797cdf4c2619bba6263359afb1138ce234a3f02231076f898,qmlc,
ContentItem.qmlc,temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls\Private\ContentItem.qmlc,6476,6.32 B,2022-01-06 07:52:26,false,1b259c57829d82540be7771a2a0e6cff,b692a017e4c3b1f669a056db9e43b6c4788e353618528a3735f2141329b5997c,qmlc,
ContentItem.qml,temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls\Private\ContentItem.qml,4611,4.50 B,2020-10-27 08:02:10,false,b6b8f57d8db0f00aa169dceaff7496e2,eabc8322be26364621abb055c8fc60567496f03283ccb29df52282e5a9fc1cb2,qml,
EditMenu.qml,temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls\Private\EditMenu.qml,3383,3.30 B,2020-10-27 08:02:10,false,b48053c0e232fde426daf51151b93da9,46b63d90ff343644506d788c6eeeb99956f55a6cbe297ddd998fc7438196b968,qml,
Control.qml,temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls\Private\Control.qml,3391,3.31 B,2020-10-27 08:02:10,false,c44b244c04f74d3a6ab99849bb974985,ae60c761d16df1cfc3308df1d600d5aed403b95377b56b870a5b08af9fee476a,qml,
Control.qmlc,temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls\Private\Control.qmlc,4768,4.66 B,2022-01-06 07:52:08,false,788cfe3ba91f83c745ffc104ab3a88ae,930fc39366924b70e1f58c38868d790d5c4e8a83e0216bf2c955ef32f1cae25e,qmlc,
EditMenu.qmlc,temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls\Private\EditMenu.qmlc,4436,4.33 B,2022-01-06 07:52:26,false,233c43bcf970541b6777ed825ea759d6,6abd437fe3a92ffebc03e323784168963908a298626bc919f36cd2ba63abacb1,qmlc,
EditMenu_base.qmlc,temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls\Private\EditMenu_base.qmlc,14016,13.69 B,2022-01-06 07:52:26,false,41c733ceda728dc86947ad050107fefb,fad64872ebcf43a936ef0f2a223add085a01c44ac5b25d12e59346eb9c190b61,qmlc,
EditMenu_base.qml,temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls\Private\EditMenu_base.qml,5989,5.85 B,2020-10-27 08:02:10,false,f65418d60c05cf3322abafc6fa1412cf,076e471444b7a512d0d19f39b6dc836f7a50d5049059cb26a0aeccccdef55439,qml,
FastGlow.qml,temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls\Private\FastGlow.qml,9830,9.60 B,2020-10-27 08:02:10,false,aedfa8ae1834bdae1d4cf32ba070ffbf,545de8f164ca5f49ea73f7a08305fb12806bc7b2654fdd9b0b14c275bf743cf5,qml,
FocusFrame.qml,temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls\Private\FocusFrame.qml,2653,2.59 B,2020-10-27 08:02:10,false,cdd54d4c1d7f711ccf612b229d1745a4,a4c6f0904fe3a42898a4a6b662491075ae5d10a820172058bf88cd156c733b2c,qml,
FastGlow.qmlc,temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls\Private\FastGlow.qmlc,21368,20.87 B,2022-01-06 07:52:12,false,026f28b85e8ea85e707f964b22af876b,fb2992810ea8e2f3b63dd03e1b34f372a454caa5edeea8e9d53b579150b77682,qmlc,
FocusFrame.qmlc,temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls\Private\FocusFrame.qmlc,3948,3.86 B,2022-01-06 07:52:22,false,8c75e2333d373e395f23193ec413d9f6,84107d9a7d55e7fa0e185e4dfb43feea6bcc51952ffc6508632c6368c6f9c625,qmlc,
HoverButton.qmlc,temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls\Private\HoverButton.qmlc,5640,5.51 B,2022-01-06 07:52:26,false,3447e08a0b676b7260c6d270cfa73a45,713ae629bbb8db2a14ced935f5f88647b53c8663f5f39324d64f4420340e8dfa,qmlc,
HoverButton.qml,temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls\Private\HoverButton.qml,2931,2.86 B,2020-10-27 08:02:10,false,2fec5d0a5b310a979807837bfa9ddf3d,f37ee6c81a402309cc49eb69a9500a41e79b4660eb8d8655e31d2ee6557143ce,qml,
